Step: [1/67851] train_min_loss: [3.3497] train_acc: [0.0600] test_min_loss: [3.6392] test_acc: [0.0900]
Step: [251/67851] train_min_loss: [1.3501] train_acc: [0.5400] test_min_loss: [1.4073] test_acc: [0.5700]
Step: [501/67851] train_min_loss: [1.1242] train_acc: [0.6000] test_min_loss: [1.3383] test_acc: [0.5800]
Step: [751/67851] train_min_loss: [1.1172] train_acc: [0.6100] test_min_loss: [1.6628] test_acc: [0.5100]
Step: [1001/67851] train_min_loss: [1.0301] train_acc: [0.6600] test_min_loss: [1.1387] test_acc: [0.6100]
Step: [1251/67851] train_min_loss: [1.0665] train_acc: [0.6800] test_min_loss: [1.3204] test_acc: [0.6100]
Step: [1501/67851] train_min_loss: [1.1543] train_acc: [0.6300] test_min_loss: [1.0185] test_acc: [0.6300]
Step: [1751/67851] train_min_loss: [1.0196] train_acc: [0.6800] test_min_loss: [1.4183] test_acc: [0.6000]
Step: [2001/67851] train_min_loss: [0.9945] train_acc: [0.6700] test_min_loss: [1.3659] test_acc: [0.6700]
Step: [2251/67851] train_min_loss: [0.8149] train_acc: [0.7200] test_min_loss: [1.2549] test_acc: [0.5700]
Step: [2501/67851] train_min_loss: [0.8235] train_acc: [0.7900] test_min_loss: [1.2635] test_acc: [0.6600]
Step: [2751/67851] train_min_loss: [0.7270] train_acc: [0.7600] test_min_loss: [1.2878] test_acc: [0.6200]
Step: [3001/67851] train_min_loss: [0.6375] train_acc: [0.7700] test_min_loss: [1.2334] test_acc: [0.6600]
Step: [3251/67851] train_min_loss: [0.6774] train_acc: [0.7500] test_min_loss: [1.1235] test_acc: [0.7100]
Step: [3501/67851] train_min_loss: [0.5730] train_acc: [0.8000] test_min_loss: [1.2689] test_acc: [0.6100]
Step: [3751/67851] train_min_loss: [0.6103] train_acc: [0.8200] test_min_loss: [1.3700] test_acc: [0.6200]
Step: [4001/67851] train_min_loss: [0.7129] train_acc: [0.7900] test_min_loss: [1.3101] test_acc: [0.5800]
Step: [4251/67851] train_min_loss: [0.6062] train_acc: [0.7800] test_min_loss: [1.3126] test_acc: [0.7200]
Step: [4501/67851] train_min_loss: [0.5991] train_acc: [0.8400] test_min_loss: [1.3822] test_acc: [0.6600]
Step: [4751/67851] train_min_loss: [0.7012] train_acc: [0.7500] test_min_loss: [1.2832] test_acc: [0.7100]
Step: [5001/67851] train_min_loss: [0.6301] train_acc: [0.7900] test_min_loss: [1.2752] test_acc: [0.6300]
Step: [5251/67851] train_min_loss: [0.4382] train_acc: [0.8100] test_min_loss: [1.4953] test_acc: [0.6600]
Step: [5501/67851] train_min_loss: [0.5488] train_acc: [0.8500] test_min_loss: [1.2406] test_acc: [0.6400]
Step: [5751/67851] train_min_loss: [0.6392] train_acc: [0.7900] test_min_loss: [1.1908] test_acc: [0.6000]
Step: [6001/67851] train_min_loss: [0.5551] train_acc: [0.8300] test_min_loss: [1.2024] test_acc: [0.6700]
Step: [6251/67851] train_min_loss: [0.5638] train_acc: [0.8200] test_min_loss: [1.4811] test_acc: [0.6800]
Step: [6501/67851] train_min_loss: [0.7257] train_acc: [0.8100] test_min_loss: [1.6816] test_acc: [0.5300]
Step: [6751/67851] train_min_loss: [0.5443] train_acc: [0.8000] test_min_loss: [1.2371] test_acc: [0.6300]
Step: [7001/67851] train_min_loss: [0.6362] train_acc: [0.7600] test_min_loss: [1.4900] test_acc: [0.6400]
Step: [7251/67851] train_min_loss: [0.4710] train_acc: [0.8300] test_min_loss: [1.8955] test_acc: [0.5900]
Step: [7501/67851] train_min_loss: [0.6065] train_acc: [0.7900] test_min_loss: [1.6116] test_acc: [0.6200]
Step: [7751/67851] train_min_loss: [0.5970] train_acc: [0.7700] test_min_loss: [1.0795] test_acc: [0.7600]
Step: [8001/67851] train_min_loss: [0.3561] train_acc: [0.8600] test_min_loss: [1.4005] test_acc: [0.6000]
Step: [8251/67851] train_min_loss: [0.4906] train_acc: [0.8200] test_min_loss: [1.9195] test_acc: [0.6200]
Step: [8501/67851] train_min_loss: [0.5594] train_acc: [0.7800] test_min_loss: [1.1749] test_acc: [0.6700]
Step: [8751/67851] train_min_loss: [0.6107] train_acc: [0.8200] test_min_loss: [1.5562] test_acc: [0.6400]
Step: [9001/67851] train_min_loss: [0.5898] train_acc: [0.7600] test_min_loss: [1.7408] test_acc: [0.6200]
Step: [9251/67851] train_min_loss: [0.5739] train_acc: [0.7900] test_min_loss: [1.8811] test_acc: [0.6400]
Step: [9501/67851] train_min_loss: [0.4178] train_acc: [0.8300] test_min_loss: [1.7133] test_acc: [0.6400]
Step: [9751/67851] train_min_loss: [0.3783] train_acc: [0.8800] test_min_loss: [1.6736] test_acc: [0.6900]
Step: [10001/67851] train_min_loss: [0.4555] train_acc: [0.8400] test_min_loss: [1.8034] test_acc: [0.6700]
Step: [10251/67851] train_min_loss: [0.5507] train_acc: [0.7900] test_min_loss: [1.4507] test_acc: [0.6400]
