Step: [1/67851] train_min_loss: [3.0418] train_acc: [0.0600] test_min_loss: [2.7634] test_acc: [0.1300]
Step: [251/67851] train_min_loss: [1.3070] train_acc: [0.5200] test_min_loss: [1.1865] test_acc: [0.6500]
Step: [501/67851] train_min_loss: [0.8458] train_acc: [0.7700] test_min_loss: [1.2955] test_acc: [0.6500]
Step: [751/67851] train_min_loss: [0.9651] train_acc: [0.7100] test_min_loss: [0.9086] test_acc: [0.7000]
Step: [1001/67851] train_min_loss: [0.9678] train_acc: [0.6900] test_min_loss: [1.4096] test_acc: [0.6700]
Step: [1251/67851] train_min_loss: [0.7742] train_acc: [0.7600] test_min_loss: [1.2282] test_acc: [0.6500]
Step: [1501/67851] train_min_loss: [0.6543] train_acc: [0.7800] test_min_loss: [1.2351] test_acc: [0.6500]
Step: [1751/67851] train_min_loss: [0.5153] train_acc: [0.8600] test_min_loss: [0.8469] test_acc: [0.7500]
Step: [2001/67851] train_min_loss: [0.6356] train_acc: [0.7900] test_min_loss: [1.2129] test_acc: [0.6300]
Step: [2251/67851] train_min_loss: [0.4071] train_acc: [0.8600] test_min_loss: [1.2903] test_acc: [0.6500]
Step: [2501/67851] train_min_loss: [0.4250] train_acc: [0.8900] test_min_loss: [1.1237] test_acc: [0.6700]
Step: [2751/67851] train_min_loss: [0.7686] train_acc: [0.7800] test_min_loss: [1.5569] test_acc: [0.6200]
Step: [3001/67851] train_min_loss: [0.3555] train_acc: [0.9200] test_min_loss: [1.2763] test_acc: [0.6500]
Step: [3251/67851] train_min_loss: [0.3962] train_acc: [0.8600] test_min_loss: [1.2004] test_acc: [0.7000]
Step: [3501/67851] train_min_loss: [0.3500] train_acc: [0.8900] test_min_loss: [1.2373] test_acc: [0.6800]
Step: [3751/67851] train_min_loss: [0.2060] train_acc: [0.9500] test_min_loss: [1.3609] test_acc: [0.6900]
Step: [4001/67851] train_min_loss: [0.2110] train_acc: [0.9200] test_min_loss: [1.8745] test_acc: [0.6300]
Step: [4251/67851] train_min_loss: [0.3606] train_acc: [0.8800] test_min_loss: [1.7052] test_acc: [0.6100]
Step: [4501/67851] train_min_loss: [0.1570] train_acc: [0.9700] test_min_loss: [1.1543] test_acc: [0.7100]
Step: [4751/67851] train_min_loss: [0.1394] train_acc: [0.9600] test_min_loss: [1.2646] test_acc: [0.6700]
Step: [5001/67851] train_min_loss: [0.1231] train_acc: [0.9600] test_min_loss: [1.4985] test_acc: [0.6900]
Step: [5251/67851] train_min_loss: [0.2579] train_acc: [0.9100] test_min_loss: [1.6286] test_acc: [0.6800]
Step: [5501/67851] train_min_loss: [0.1809] train_acc: [0.9600] test_min_loss: [1.3895] test_acc: [0.6700]
Step: [5751/67851] train_min_loss: [0.1423] train_acc: [0.9300] test_min_loss: [1.6509] test_acc: [0.6800]
Step: [6001/67851] train_min_loss: [0.1609] train_acc: [0.9600] test_min_loss: [1.9558] test_acc: [0.6100]
Step: [6251/67851] train_min_loss: [0.1092] train_acc: [0.9900] test_min_loss: [1.3419] test_acc: [0.6600]
Step: [6501/67851] train_min_loss: [0.3066] train_acc: [0.9300] test_min_loss: [1.8170] test_acc: [0.6100]
Step: [6751/67851] train_min_loss: [0.0996] train_acc: [0.9700] test_min_loss: [1.9915] test_acc: [0.6300]
Step: [7001/67851] train_min_loss: [0.0918] train_acc: [0.9700] test_min_loss: [1.8379] test_acc: [0.6200]
Step: [7251/67851] train_min_loss: [0.0759] train_acc: [0.9900] test_min_loss: [1.3751] test_acc: [0.7300]
Step: [7501/67851] train_min_loss: [0.0313] train_acc: [0.9900] test_min_loss: [2.1897] test_acc: [0.5700]
Step: [7751/67851] train_min_loss: [0.1270] train_acc: [0.9600] test_min_loss: [1.5699] test_acc: [0.6600]
Step: [8001/67851] train_min_loss: [0.1519] train_acc: [0.9600] test_min_loss: [1.4801] test_acc: [0.6800]
Step: [8251/67851] train_min_loss: [0.0630] train_acc: [0.9800] test_min_loss: [1.4503] test_acc: [0.7600]
Step: [8501/67851] train_min_loss: [0.1186] train_acc: [0.9600] test_min_loss: [1.8729] test_acc: [0.6800]
Step: [8751/67851] train_min_loss: [0.1238] train_acc: [0.9700] test_min_loss: [2.0502] test_acc: [0.6800]
Step: [9001/67851] train_min_loss: [0.1350] train_acc: [0.9500] test_min_loss: [1.4623] test_acc: [0.6800]
Step: [9251/67851] train_min_loss: [0.0845] train_acc: [0.9800] test_min_loss: [1.7782] test_acc: [0.6300]
Step: [9501/67851] train_min_loss: [0.1201] train_acc: [0.9800] test_min_loss: [2.1527] test_acc: [0.6600]
Step: [9751/67851] train_min_loss: [0.0383] train_acc: [0.9900] test_min_loss: [1.9770] test_acc: [0.6200]
Step: [10001/67851] train_min_loss: [0.1773] train_acc: [0.9500] test_min_loss: [2.2044] test_acc: [0.6700]
Step: [10251/67851] train_min_loss: [0.0801] train_acc: [0.9700] test_min_loss: [2.1120] test_acc: [0.6500]
Step: [10501/67851] train_min_loss: [0.0081] train_acc: [1.0000] test_min_loss: [2.6185] test_acc: [0.6700]
Step: [10751/67851] train_min_loss: [0.0639] train_acc: [0.9700] test_min_loss: [2.5645] test_acc: [0.6100]
Step: [11001/67851] train_min_loss: [0.0625] train_acc: [0.9800] test_min_loss: [2.7687] test_acc: [0.6500]
Step: [11251/67851] train_min_loss: [0.0873] train_acc: [0.9700] test_min_loss: [2.5630] test_acc: [0.5900]
Step: [11501/67851] train_min_loss: [0.0576] train_acc: [0.9800] test_min_loss: [1.9047] test_acc: [0.6800]
Step: [11751/67851] train_min_loss: [0.1441] train_acc: [0.9700] test_min_loss: [3.5422] test_acc: [0.6800]
