Step: [1/67851] train_min_loss: [2.8264] train_acc: [0.2300] test_min_loss: [2.8580] test_acc: [0.1200]
Step: [101/67851] train_min_loss: [1.5716] train_acc: [0.4900] test_min_loss: [1.6312] test_acc: [0.5000]
Step: [201/67851] train_min_loss: [1.6150] train_acc: [0.4500] test_min_loss: [1.2826] test_acc: [0.5700]
Step: [301/67851] train_min_loss: [1.5000] train_acc: [0.5600] test_min_loss: [1.1720] test_acc: [0.6500]
Step: [401/67851] train_min_loss: [1.0923] train_acc: [0.6700] test_min_loss: [1.3674] test_acc: [0.5700]
Step: [501/67851] train_min_loss: [1.2642] train_acc: [0.5500] test_min_loss: [1.3440] test_acc: [0.5600]
Step: [601/67851] train_min_loss: [1.2521] train_acc: [0.6100] test_min_loss: [1.3668] test_acc: [0.5400]
Step: [701/67851] train_min_loss: [1.1793] train_acc: [0.6200] test_min_loss: [1.2206] test_acc: [0.6500]
Step: [801/67851] train_min_loss: [1.0744] train_acc: [0.6600] test_min_loss: [1.3239] test_acc: [0.6100]
Step: [901/67851] train_min_loss: [0.9208] train_acc: [0.7100] test_min_loss: [1.3192] test_acc: [0.5900]
Step: [1001/67851] train_min_loss: [0.8285] train_acc: [0.7600] test_min_loss: [1.1233] test_acc: [0.6600]
Step: [1101/67851] train_min_loss: [0.9198] train_acc: [0.7000] test_min_loss: [1.2268] test_acc: [0.5800]
Step: [1201/67851] train_min_loss: [0.8814] train_acc: [0.7000] test_min_loss: [1.1208] test_acc: [0.6500]
Step: [1301/67851] train_min_loss: [0.9837] train_acc: [0.6700] test_min_loss: [1.0376] test_acc: [0.6700]
Step: [1401/67851] train_min_loss: [1.0430] train_acc: [0.6200] test_min_loss: [1.0475] test_acc: [0.6900]
Step: [1501/67851] train_min_loss: [0.8543] train_acc: [0.7400] test_min_loss: [1.2688] test_acc: [0.6000]
Step: [1601/67851] train_min_loss: [0.6656] train_acc: [0.8100] test_min_loss: [1.1194] test_acc: [0.6500]
Step: [1701/67851] train_min_loss: [0.6974] train_acc: [0.7800] test_min_loss: [1.1293] test_acc: [0.6600]
Step: [1801/67851] train_min_loss: [0.6759] train_acc: [0.8100] test_min_loss: [0.8443] test_acc: [0.7300]
Step: [1901/67851] train_min_loss: [0.7320] train_acc: [0.7700] test_min_loss: [0.9170] test_acc: [0.7600]
Step: [2001/67851] train_min_loss: [0.7122] train_acc: [0.7500] test_min_loss: [1.1623] test_acc: [0.6400]
Step: [2101/67851] train_min_loss: [0.4916] train_acc: [0.8300] test_min_loss: [1.2275] test_acc: [0.6300]
Step: [2201/67851] train_min_loss: [0.7695] train_acc: [0.6800] test_min_loss: [0.9937] test_acc: [0.6800]
Step: [2301/67851] train_min_loss: [0.7645] train_acc: [0.7800] test_min_loss: [1.1437] test_acc: [0.6100]
Step: [2401/67851] train_min_loss: [0.8724] train_acc: [0.6600] test_min_loss: [1.0706] test_acc: [0.6600]
Step: [2501/67851] train_min_loss: [0.7266] train_acc: [0.7900] test_min_loss: [1.2446] test_acc: [0.6300]
Step: [2601/67851] train_min_loss: [0.4144] train_acc: [0.8800] test_min_loss: [1.1181] test_acc: [0.6700]
Step: [2701/67851] train_min_loss: [0.8023] train_acc: [0.7600] test_min_loss: [1.0279] test_acc: [0.7200]
Step: [2801/67851] train_min_loss: [0.8002] train_acc: [0.7800] test_min_loss: [1.2036] test_acc: [0.6500]
Step: [2901/67851] train_min_loss: [0.9315] train_acc: [0.6800] test_min_loss: [1.2769] test_acc: [0.6100]
Step: [3001/67851] train_min_loss: [0.8437] train_acc: [0.7300] test_min_loss: [1.1041] test_acc: [0.6500]
Step: [3101/67851] train_min_loss: [0.6082] train_acc: [0.7900] test_min_loss: [1.3125] test_acc: [0.6200]
